"Año","Subcategorías","Producto","Porcentaje","Categorías"
"2021","De 18 a 29 años","Cuenta",49,"Grupos Etarios"
"2021","De 18 a 29 años","Crédito.Formal",28,"Grupos Etarios"
"2021","De 18 a 29 años","Seguro",16,"Grupos Etarios"
"2021","De 18 a 29 años","Afore",30,"Grupos Etarios"
"2021","De 30 a 44 años","Tenencia",73,"Grupos Etarios"
"2021","De 30 a 44 años","Cuenta",53,"Grupos Etarios"
"2021","De 30 a 44 años","Crédito.Formal",38,"Grupos Etarios"
"2021","De 30 a 44 años","Seguro",25,"Grupos Etarios"
"2021","De 30 a 44 años","Afore",49,"Grupos Etarios"
"2021","De 45 a 59 años","Tenencia",67,"Grupos Etarios"
"2021","De 45 a 59 años","Cuenta",43,"Grupos Etarios"
"2021","De 45 a 59 años","Crédito.Formal",34,"Grupos Etarios"
"2021","De 45 a 59 años","Seguro",22,"Grupos Etarios"
"2021","De 45 a 59 años","Afore",45,"Grupos Etarios"
"2021","Mayor a 60","Tenencia",64,"Grupos Etarios"
"2021","Mayor a 60","Cuenta",51,"Grupos Etarios"
"2021","Mayor a 60","Crédito.Formal",27,"Grupos Etarios"
"2021","Mayor a 60","Seguro",18,"Grupos Etarios"
"2021","Mayor a 60","Afore",23,"Grupos Etarios"
"2015","Hasta primaria","Tenencia",51,"Nivel Educativo"
"2015","Hasta primaria","Cuenta",29,"Nivel Educativo"
"2015","Hasta primaria","Crédito.Formal",15,"Nivel Educativo"
"2015","Hasta primaria","Seguro",9,"Nivel Educativo"
"2015","Hasta primaria","Afore",22,"Nivel Educativo"
"2015","Hasta secundaria","Tenencia",67,"Nivel Educativo"
"2015","Hasta secundaria","Cuenta",39,"Nivel Educativo"
"2015","Hasta secundaria","Crédito.Formal",28,"Nivel Educativo"
"2015","Hasta secundaria","Seguro",20,"Nivel Educativo"
"2015","Hasta secundaria","Afore",43,"Nivel Educativo"
"2015","Hasta nivel medio superior","Tenencia",75,"Nivel Educativo"
"2015","Hasta nivel medio superior","Cuenta",48,"Nivel Educativo"
"2015","Hasta nivel medio superior","Crédito.Formal",33,"Nivel Educativo"
"2015","Hasta nivel medio superior","Seguro",29,"Nivel Educativo"
"2015","Hasta nivel medio superior","Afore",49,"Nivel Educativo"
"2015","Licenciatura o mas","Tenencia",89,"Nivel Educativo"
"2015","Licenciatura o mas","Cuenta",70,"Nivel Educativo"
"2015","Licenciatura o mas","Crédito.Formal",46,"Nivel Educativo"
"2015","Licenciatura o mas","Seguro",50,"Nivel Educativo"
"2015","Licenciatura o mas","Afore",57,"Nivel Educativo"
"2018","Hasta primaria","Tenencia",53,"Nivel Educativo"
"2018","Hasta primaria","Cuenta",34,"Nivel Educativo"
"2018","Hasta primaria","Crédito.Formal",16,"Nivel Educativo"
"2018","Hasta primaria","Seguro",12,"Nivel Educativo"
"2018","Hasta primaria","Afore",20,"Nivel Educativo"
"2018","Hasta secundaria","Tenencia",68,"Nivel Educativo"
"2018","Hasta secundaria","Cuenta",42,"Nivel Educativo"
"2018","Hasta secundaria","Crédito.Formal",31,"Nivel Educativo"
"2018","Hasta secundaria","Seguro",21,"Nivel Educativo"
"2018","Hasta secundaria","Afore",41,"Nivel Educativo"
"2018","Hasta nivel medio superior","Tenencia",68,"Nivel Educativo"
"2018","Hasta nivel medio superior","Cuenta",47,"Nivel Educativo"
"2018","Hasta nivel medio superior","Crédito.Formal",31,"Nivel Educativo"
"2018","Hasta nivel medio superior","Seguro",25,"Nivel Educativo"
"2018","Hasta nivel medio superior","Afore",44,"Nivel Educativo"
"2018","Licenciatura o mas","Tenencia",88,"Nivel Educativo"
"2018","Licenciatura o mas","Cuenta",71,"Nivel Educativo"
"2018","Licenciatura o mas","Crédito.Formal",50,"Nivel Educativo"
"2018","Licenciatura o mas","Seguro",48,"Nivel Educativo"
"2018","Licenciatura o mas","Afore",57,"Nivel Educativo"
"2021","Hasta primaria","Tenencia",48,"Nivel Educativo"
"2021","Hasta primaria","Cuenta",28,"Nivel Educativo"
"2021","Hasta primaria","Crédito.Formal",18,"Nivel Educativo"
"2021","Hasta primaria","Seguro",7,"Nivel Educativo"
"2021","Hasta primaria","Afore",21,"Nivel Educativo"
"2021","Hasta secundaria","Tenencia",64,"Nivel Educativo"
"2021","Hasta secundaria","Cuenta",40,"Nivel Educativo"
"2021","Hasta secundaria","Crédito.Formal",28,"Nivel Educativo"
"2021","Hasta secundaria","Seguro",14,"Nivel Educativo"
"2021","Hasta secundaria","Afore",37,"Nivel Educativo"
"2021","Hasta nivel medio superior","Tenencia",71,"Nivel Educativo"
"2021","Hasta nivel medio superior","Cuenta",53,"Nivel Educativo"
"2021","Hasta nivel medio superior","Crédito.Formal",33,"Nivel Educativo"
"2021","Hasta nivel medio superior","Seguro",21,"Nivel Educativo"
"2021","Hasta nivel medio superior","Afore",45,"Nivel Educativo"
"2021","Licenciatura o mas","Tenencia",88,"Nivel Educativo"
"2021","Licenciatura o mas","Cuenta",76,"Nivel Educativo"
"2021","Licenciatura o mas","Crédito.Formal",52,"Nivel Educativo"
"2021","Licenciatura o mas","Seguro",43,"Nivel Educativo"
"2021","Licenciatura o mas","Afore",53,"Nivel Educativo"
